"district","date","variable","value"
"40",1980-07-01,"eddi3",0.329520495926462
"41",1980-07-01,"eddi3",0.504266425967216
"42",1980-07-01,"eddi3",0.226851127364419
"43",1980-07-01,"eddi3",-0.218538117595017
"44",1980-07-01,"eddi3",-1.30902693867683
"45",1980-07-01,"eddi3",0.515121921896935
"47",1980-07-01,"eddi3",-0.34501065467966
"48",1980-07-01,"eddi3",0.318049955368042
"49",1980-07-01,"eddi3",-0.612766220234334
"5",1980-07-01,"eddi3",-0.43656899034977
"50",1980-07-01,"eddi3",-1.13161318831974
"51",1980-07-01,"eddi3",-0.284792095422745
"52",1980-07-01,"eddi3",0.465493930710687
"53",1980-07-01,"eddi3",-0.19164599265371
"54",1980-07-01,"eddi3",-1.02094276746114
"55",1980-07-01,"eddi3",-1.15868895997604
"56",1980-07-01,"eddi3",-0.886035416807447
"57",1980-07-01,"eddi3",-1.25836180150509
"58",1980-07-01,"eddi3",-1.01279912889004
"59",1980-07-01,"eddi3",0.276163407734462
"6",1980-07-01,"eddi3",-0.420008540153503
"60",1980-07-01,"eddi3",0.221519377231598
"61",1980-07-01,"eddi3",-0.226360023021698
"62",1980-07-01,"eddi3",0.488987891674042
"63",1980-07-01,"eddi3",0.0658233430650499
"64",1980-07-01,"eddi3",-0.492843621847581
"65",1980-07-01,"eddi3",-0.701844070896958
"66",1980-07-01,"eddi3",-0.433096859190199
"67",1980-07-01,"eddi3",-0.491555702444669
"68",1980-07-01,"eddi3",0.614236988804557
"69",1980-07-01,"eddi3",-0.391791391372681
"7",1980-07-01,"eddi3",-0.194575822353363
"70",1980-07-01,"eddi3",0.400120803288051
"71",1980-07-01,"eddi3",-0.391093552112579
"72",1980-07-01,"eddi3",0.414919253852632
"73",1980-07-01,"eddi3",0.267743269602458
"76",1980-07-01,"eddi3",0.0347542762756348
"77",1980-07-01,"eddi3",-0.0888735055923462
"78",1980-07-01,"eddi3",-0.192062805096308
"79",1980-07-01,"eddi3",0.0530240635077159
"8",1980-07-01,"eddi3",-0.048728734254837
"80",1980-07-01,"eddi3",-0.0531755685806274
"9",1980-07-01,"eddi3",-0.215907073020935
